candidate_id,project,function_id,candidate_stratum,label,domain_size,canonical_first_witness_rank,total_mismatching_inputs,fraction_of_domain_before_first_witness,complete_domain_cost_inputs,total_enumeration_time_s,complete_mismatch_set_sha256
sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591::controlled::return_value_perturbation_00,sqlite,sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591,controlled_stress,semantic_wrong,64,1,64,0.015625,64,unknown_not_recorded_in_sealed_label_artifact,55df0b0ac68899c19e68c3c267618da4a8d47d4f46cc9b363d20bfa9da08dc98
sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591::ghidra::clang_O2,sqlite,sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591,natural_ghidra,no_mismatch_under_exact_holdout_domain,64,,0,,64,unknown_not_recorded_in_sealed_label_artifact,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::comparison_operator_replacement_00,sqlite,sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e,controlled_stress,semantic_wrong,128,58,1,0.453125,128,unknown_not_recorded_in_sealed_label_artifact,901c8565016cf21f1ab20777a5a0149f93e31ae4655eedadee809e4704bb1a7a
sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::return_value_perturbation_01,sqlite,sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e,controlled_stress,semantic_wrong,128,49,10,0.3828125,128,unknown_not_recorded_in_sealed_label_artifact,b25a8f5b0ce1572431143e086065900768dd30fb4059e6fed69b651756fd5c3d
sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::controlled::fixture_overfit_construction_00,sqlite,sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07,controlled_stress,semantic_wrong,64,1,60,0.015625,64,unknown_not_recorded_in_sealed_label_artifact,608586780ac5d236288ee15381e4d2ca46a068c1f95efb1983b1a65d28b940c6
sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::controlled::return_value_perturbation_01,sqlite,sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07,controlled_stress,no_mismatch_under_exact_holdout_domain,64,,0,,64,unknown_not_recorded_in_sealed_label_artifact,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::ghidra::clang_O2,sqlite,sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07,natural_ghidra,no_mismatch_under_exact_holdout_domain,64,,0,,64,unknown_not_recorded_in_sealed_label_artifact,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3::controlled::fixture_overfit_construction_01,sqlite,sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3,controlled_stress,semantic_wrong,64,1,57,0.015625,64,unknown_not_recorded_in_sealed_label_artifact,3d6d8e49fada737afb56421094f793d975a7abc6eda684803bcd0204084b9f61
sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3::ghidra::clang_O2,sqlite,sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3,natural_ghidra,no_mismatch_under_exact_holdout_domain,64,,0,,64,unknown_not_recorded_in_sealed_label_artifact,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::comparison_operator_replacement_01,xxHash,xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32,controlled_stress,semantic_wrong,128,58,1,0.453125,128,unknown_not_recorded_in_sealed_label_artifact,e9062919e4724ee5c7526516ebbdd4c24e1c5bd263a082b730875af883b083a9
xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::fixture_overfit_construction_00,xxHash,xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32,controlled_stress,semantic_wrong,128,1,123,0.0078125,128,unknown_not_recorded_in_sealed_label_artifact,dbe46e1b92bac323eb5b93e8d48ef04627ebcd17036f14a4d152a2c1f1760928
