mode,budget_or_time_limit,population,candidate_denominator,supported_candidates,mean_detection,median_detection,stddev_detection,p2_5_detection,p97_5_detection,best_seed_detection,worst_seed_detection,no_mismatch_false_alarms,distinct_no_mismatch_false_alarm_candidates,baseline_status,blocker,clang_version,source_literal_dictionary_used
evaluation_count,32,no_mismatch_comparison,34,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
evaluation_count,128,primary_fixture_passing_wrong,37,37,0.8162162162162162,0.8108108108108109,0.08059916845529745,0.6608108108108108,0.9608108108108108,1.0,0.6216216216216216,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
evaluation_count,128,low_density_fixture_passing_wrong,16,16,0.575,0.5625,0.18638557705287534,0.215625,0.9093749999999998,1.0,0.125,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
evaluation_count,128,non_fixture_overfit_fixture_passing_wrong,15,15,0.5777777777777777,0.5333333333333333,0.1856586539929371,0.23,0.9516666666666665,1.0,0.13333333333333333,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
evaluation_count,128,no_mismatch_comparison,34,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
evaluation_count,1024,primary_fixture_passing_wrong,37,37,0.972972972972973,0.9864864864864865,0.032731355179432334,0.9040540540540541,1.0,1.0,0.8648648648648649,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
evaluation_count,1024,low_density_fixture_passing_wrong,16,16,0.9375,0.96875,0.07569125885243728,0.778125,1.0,1.0,0.6875,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
evaluation_count,1024,non_fixture_overfit_fixture_passing_wrong,15,15,0.9355555555555556,0.9666666666666667,0.07790465841314713,0.8116666666666668,1.0,1.0,0.6666666666666666,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
evaluation_count,1024,no_mismatch_comparison,34,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,completed,,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
wall_clock,0.01,primary_fixture_passing_wrong,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,not_run_blocked,not_run_in_phase1f_result_generation; full 71-candidate x 30-seed x 5s wall-clock matrix exceeds current reasonable CPU budget,Ubuntu clang version 11.0.0-2~ubuntu20.04.1,False
